"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"REAC","Defective homologous recombination repair (HRR) due to PALB2 loss of function","REAC:R-HSA-9701193","false","0.03879388309060395","1.4112367473290877","25","327","6","10842","ENSG00000174371,ENSG00000139618,ENSG00000051180,ENSG00000012048,ENSG00000136492,ENSG00000196584"
"REAC","Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA2/RAD51/RAD51C binding function","REAC:R-HSA-9704646","false","0.03879388309060395","1.4112367473290877","25","327","6","10842","ENSG00000174371,ENSG00000139618,ENSG00000051180,ENSG00000012048,ENSG00000136492,ENSG00000196584"
"REAC","Defective homologous recombination repair (HRR) due to BRCA1 loss of function","REAC:R-HSA-9701192","false","0.03879388309060395","1.4112367473290877","25","327","6","10842","ENSG00000174371,ENSG00000139618,ENSG00000051180,ENSG00000012048,ENSG00000136492,ENSG00000196584"
"REAC","Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA1 binding function","REAC:R-HSA-9704331","false","0.03879388309060395","1.4112367473290877","25","327","6","10842","ENSG00000174371,ENSG00000139618,ENSG00000051180,ENSG00000012048,ENSG00000136492,ENSG00000196584"
"REAC","MHC class II antigen presentation","REAC:R-HSA-2132295","false","0.04134165752904943","1.3836121150021794","123","327","13","10842","ENSG00000142945,ENSG00000138160,ENSG00000121621,ENSG00000123416,ENSG00000167553,ENSG00000161800,ENSG00000137807,ENSG00000079616,ENSG00000138778,ENSG00000112984,ENSG00000136943,ENSG00000188229,ENSG00000090889"
"REAC","Interleukin-7 signaling","REAC:R-HSA-1266695","false","0.041397598605229166","1.3830248507328675","36","327","7","10842","ENSG00000183598,ENSG00000203811,ENSG00000203852,ENSG00000286522,ENSG00000277775,ENSG00000273983,ENSG00000019991"
"REAC","APC/C:Cdc20 mediated degradation of mitotic proteins","REAC:R-HSA-176409","false","0.043809855671560344","1.3584281775716116","76","327","10","10842","ENSG00000117399,ENSG00000117650,ENSG00000170312,ENSG00000156970,ENSG00000108106,ENSG00000175063,ENSG00000164109,ENSG00000145386,ENSG00000134057,ENSG00000164611"
"REAC","ESR-mediated signaling","REAC:R-HSA-8939211","false","0.04626698298710206","1.3347288193843279","216","327","18","10842","ENSG00000183598,ENSG00000203811,ENSG00000203852,ENSG00000188486,ENSG00000182481,ENSG00000176170,ENSG00000109321,ENSG00000113070,ENSG00000286522,ENSG00000278463,ENSG00000277224,ENSG00000277775,ENSG00000273983,ENSG00000278588,ENSG00000276368,ENSG00000233822,ENSG00000275126,ENSG00000274641"
"REAC","Switching of origins to a post-replicative state","REAC:R-HSA-69052","false","0.04771029351720344","1.321387911621546","92","327","11","10842","ENSG00000085840,ENSG00000123374,ENSG00000091651,ENSG00000167513,ENSG00000108106,ENSG00000125885,ENSG00000175063,ENSG00000100297,ENSG00000145386,ENSG00000112312,ENSG00000104738"
"REAC","APC-Cdc20 mediated degradation of Nek2A","REAC:R-HSA-179409","false","0.04916338651576037","1.3083582092995814","26","327","6","10842","ENSG00000117399,ENSG00000117650,ENSG00000156970,ENSG00000108106,ENSG00000175063,ENSG00000164109"
"WP","Retinoblastoma gene in cancer","WP:WP2446","false","8.778679582055076e-12","11.056570802243327","89","270","22","8286","ENSG00000007968,ENSG00000085840,ENSG00000097046,ENSG00000170312,ENSG00000123374,ENSG00000100479,ENSG00000157456,ENSG00000167513,ENSG00000131747,ENSG00000171848,ENSG00000093009,ENSG00000164045,ENSG00000163918,ENSG00000145386,ENSG00000142731,ENSG00000164104,ENSG00000134057,ENSG00000228716,ENSG00000112742,ENSG00000011426,ENSG00000104738,ENSG00000090889"
"WP","Cell cycle","WP:WP179","false","1.0894970736342284e-11","10.962773931921822","120","270","25","8286","ENSG00000007968,ENSG00000117399,ENSG00000085840,ENSG00000097046,ENSG00000170312,ENSG00000129757,ENSG00000135476,ENSG00000123374,ENSG00000157456,ENSG00000127564,ENSG00000166851,ENSG00000091651,ENSG00000129355,ENSG00000169679,ENSG00000093009,ENSG00000100297,ENSG00000164045,ENSG00000145386,ENSG00000134057,ENSG00000158402,ENSG00000164611,ENSG00000112742,ENSG00000006634,ENSG00000104738,ENSG00000147883"
"WP","DNA IR damage and cellular response via ATR","WP:WP4016","false","1.3149314450677963e-8","7.88109688885093","81","270","18","8286","ENSG00000092853,ENSG00000174371,ENSG00000170312,ENSG00000168496,ENSG00000188486,ENSG00000111206,ENSG00000123374,ENSG00000139618,ENSG00000051180,ENSG00000140525,ENSG00000166851,ENSG00000187741,ENSG00000012048,ENSG00000136492,ENSG00000093009,ENSG00000144554,ENSG00000158402,ENSG00000160957"
"WP","DNA replication","WP:WP466","false","7.164347346882728e-8","7.144823366544728","42","270","13","8286","ENSG00000085840,ENSG00000097046,ENSG00000065328,ENSG00000123374,ENSG00000100479,ENSG00000091651,ENSG00000167513,ENSG00000093009,ENSG00000100297,ENSG00000163918,ENSG00000112312,ENSG00000006634,ENSG00000104738"
"WP","G1 to S cell cycle control","WP:WP45","false","0.000002253795648955123","5.647085463868636","64","270","14","8286","ENSG00000007968,ENSG00000085840,ENSG00000170312,ENSG00000129757,ENSG00000123374,ENSG00000100479,ENSG00000091651,ENSG00000129355,ENSG00000093009,ENSG00000100297,ENSG00000164045,ENSG00000134057,ENSG00000104738,ENSG00000147883"
"WP","Regulation of sister chromatid separation at the metaphase anaphase transition","WP:WP4240","false","0.000019008817907443788","4.721044889564672","14","270","7","8286","ENSG00000117399,ENSG00000135476,ENSG00000156970,ENSG00000169679,ENSG00000138778,ENSG00000164109,ENSG00000164611"
"WP","Cohesin complex Cornelia de Lange syndrome","WP:WP5117","false","0.00017349491364927703","3.7607132528986518","34","270","9","8286","ENSG00000170312,ENSG00000146670,ENSG00000135476,ENSG00000166851,ENSG00000178999,ENSG00000163535,ENSG00000129810,ENSG00000164611,ENSG00000171320"
"WP","Gastric cancer network 1","WP:WP2361","false","0.0003769241499661546","3.4237460359092795","28","270","8","8286","ENSG00000117724,ENSG00000138182,ENSG00000131747,ENSG00000088325,ENSG00000175063,ENSG00000087586,ENSG00000114346,ENSG00000104738"
"WP","ATM signaling pathway","WP:WP2516","false","0.0007617286081371199","3.118199733361879","40","270","9","8286","ENSG00000170312,ENSG00000188486,ENSG00000123374,ENSG00000051180,ENSG00000012048,ENSG00000144554,ENSG00000164045,ENSG00000134057,ENSG00000158402"
