"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000067177|PHKA1",496.370927446019,0.240528990574582,0.115362447719995,2.08498515182677,0.0370706483533821,0.10087665797193
"ENSG00000293034|NAP1L6P",20.2462983302549,0.653684997414793,0.426786605347295,1.53164365803575,0.12561039284447,0.261915067431097
"ENSG00000204118|NAP1L6P",3.52070366353045,0.423748614776706,1.05698690097812,0.400902427820607,0.688491962379034,0.823615815055167
"ENSG00000186462|NAP1L2",633.670018462399,0.362768720362208,0.187643942144251,1.93328234429935,0.0532014255911441,0.134489799415839
"ENSG00000204116|CHIC1",1353.82719241555,0.179730400758062,0.0856157271634063,2.09926851891391,0.0357932369038542,0.0980658525339013
"ENSG00000186871|ERCC6L",838.693326281388,-1.73610353756288,0.375098940480748,-4.62838827360534,3.68522592490975e-06,3.37726020833777e-05
"ENSG00000285547",11.6403375295683,0.858727408884536,1.03623616124569,0.82869855444172,0.407275003965337,0.60192319370148
"ENSG00000147099|HDAC8",927.541270659653,-0.00824997624084627,0.116519111557546,-0.0708036315293379,0.943554041538614,0.972364140237768
"ENSG00000102309|PIN4",567.720708707096,0.143736813478088,0.107064365227501,1.34252711602653,0.179425144353087,0.341464385120135
"ENSG00000239577|RN7SL388P",4.24879749482701,-1.335994939908,1.54076733705283,-0.867097132564797,0.38588879158615,0.583335875844609
"ENSG00000198034|RPS4X",27047.4380308026,0.386430524850412,0.045296227732256,8.53118557983649,1.44855444812551e-17,9.07730442766881e-16
"ENSG00000270641|TSIX",4.49483049905874,5.64452587893289,3.3920556851157,1.664042811473,0.0961038742614197,0.213589196520479
"ENSG00000229807|XIST",2238.51423519952,-0.40539058474216,0.12232178656663,-3.31413230725942,0.000919279973308573,0.00439274723557164
"ENSG00000230665|THAP12P1",1.28329662519184,3.84035736587742,3.41360316063309,1.12501576345072,0.26058235451872,NA
"ENSG00000147100|SLC16A2",1825.96069545359,-0.331076902141074,0.0959454673428166,-3.45067788307419,0.000559180531876959,0.00288198357644913
"ENSG00000230590|FTX",4322.63842598443,0.0746281430339642,0.0913997036290425,0.816503118400166,0.414212440718904,0.608339887939367
"ENSG00000225470|JPX",1768.21036222443,0.0596459011568685,0.0753117312321736,0.791986854916269,0.428368340966096,0.6204365568968
"ENSG00000234969|AARSD1P1",1.92115923863624,-1.0408072019282,2.42364466898902,-0.429438859270717,0.667603879449449,NA
