"";"CTR1_24h";"CTR2_24h";"CTR3_24h";"CTR4_24h";"EV1_24h";"EV2_24h";"EV3_24h";"EV4_24h"
"ENSG00000286518";0;0;0;0;0;2;0;4
"ENSG00000272235";3;8;4;3;3;0;0;0
"ENSG00000287828";15;0;0;7;0;3;3;0
"ENSG00000235169|SMIM1";12;40;38;16;61;46;73;35
"ENSG00000272088";0;0;0;0;0;0;0;0
"ENSG00000207776|MIR551A";0;0;0;0;0;0;0;0
"ENSG00000162591|MEGF6";3924;4025;3315;2918;3461;3705;2877;3816
"ENSG00000130764|LRRC47";2757;2698;2394;2056;2161;2602;2198;2534
"ENSG00000266075|RN7SL574P";0;0;0;3;3;0;0;0
"ENSG00000272153";7;0;5;9;18;16;14;10
"ENSG00000158109|TPRG1L";988;883;729;769;700;805;720;1029
"ENSG00000116213|WRAP73";475;575;444;401;441;503;433;469
"ENSG00000078900|TP73";0;0;10;0;0;0;0;0
"ENSG00000227589|TP73-AS3";0;0;0;0;0;0;0;0
"ENSG00000235131|TP73-AS2";0;0;0;0;0;0;0;0
"ENSG00000293478|TP73-AS1";1310;1362;1060;848;1189;1294;1025;1227
"ENSG00000276189";0;0;0;0;0;0;0;0
"ENSG00000162592|CCDC27";0;0;0;0;0;0;0;0
"ENSG00000227372|TP73-AS1";2;1;2;14;0;2;0;5
"ENSG00000116198|CEP104";1157;1370;935;1055;1138;1054;908;1184
"ENSG00000169598|DFFB";246;272;215;198;299;213;216;235
"ENSG00000198912|C1orf174";1188;949;995;917;882;1047;815;1098
"ENSG00000236423|LINC01134";23;25;22;22;23;28;13;29
"ENSG00000131697|NPHP4";316;299;254;216;288;224;229;298
"ENSG00000069424|KCNAB2";211;193;178;188;211;203;202;157
"ENSG00000158292|GPR153";360;488;418;348;532;642;711;699
"ENSG00000069812|HES2";14;11;9;10;10;5;5;6
"ENSG00000097021|ACOT7";767;622;449;531;355;343;331;396
"ENSG00000271746";0;12;3;0;0;0;11;0
